id1	id2	class
1768	22469	DPL
12408	23308	DPL
8497	23415	DPL
13748	23167	DPL
12857	23793	DPL
14870	22670	DPL
7801	23980	DPL
20844	22669	DPL
11404	23859	DPL
2964	24178	DPL
12996	22797	DPL
20646	22543	DPL
18530	22549	DPL
4510	24230	DPL
3591	24047	DPL
1091	23609	DPL
5039	24582	DPL
6452	23006	DPL
7631	22598	DPL
4509	23633	DPL
4233	23341	DPL
4433	24196	DPL
791	22612	DPL
17537	23460	DPL
13593	23541	DPL
9692	23918	DPL
482	24318	DPL
13246	23228	DPL
20241	23997	DPL
4785	24418	DPL
9551	24115	DPL
11045	23716	DPL
18201	24407	DPL
1767	23553	DPL
14804	24039	DPL
5286	23576	DPL
19655	23514	DPL
20694	24399	DPL
7249	23492	DPL
6966	24215	DPL
8871	22388	DPL
8535	22499	DPL
1254	24181	DPL
10451	23685	DPL
19032	22321	DPL
3270	22163	DPL
7784	23390	DPL
5578	22573	DPL
6289	23703	DPL
4494	23268	DPL
16953	22405	DPL
7372	22714	DPL
11117	23082	DPL
17199	24276	DPL
4788	23220	DPL
6809	24483	DPL
2439	23471	DPL
19485	24271	DPL
21732	22678	DPL
18141	24011	DPL
14756	24304	DPL
246	24294	DPL
1083	22392	DPL
13590	22321	DPL
15123	23390	DPL
17840	24306	DPL
12701	23182	DPL
1097	22784	DPL
18981	22163	DPL
10846	22860	DPL
22026	24163	DPL
4507	23391	DPL
17303	24024	DPL
16232	23779	DPL
20175	22411	DPL
20940	22269	DPL
11741	24089	DPL
17163	24284	DPL
16579	23772	DPL
20398	23769	DPL
15248	24169	DPL
17702	23778	DPL
18465	22506	DPL
6748	22928	DPL
20523	23795	DPL
5900	24491	DPL
21784	22310	DPL
16801	22800	DPL
7150	22471	DPL
18171	23283	DPL
16625	22296	DPL
9384	22615	DPL
6863	23238	DPL
13768	24167	DPL
17275	23770	DPL
15034	23362	DPL
8619	23409	DPL
11684	22108	DPL
17579	23959	DPL
16917	23603	DPL
9579	24009	DPL
8740	22911	DPL
3255	23283	DPL
8846	23793	DPL
13805	23726	DPL
18333	24480	DPL
7638	23355	DPL
19120	24557	DPL
5783	22937	DPL
17688	22166	DPL
11895	22939	DPL
14459	22422	DPL
11688	22814	DPL
9131	22558	DPL
6639	23076	DPL
20714	22634	DPL
19818	22606	DPL
20698	22396	DPL
16367	24439	DPL
10693	23501	DPL
19540	22625	DPL
6527	22155	DPL
16794	24092	DPL
21484	22394	DPL
13477	24428	DPL
15648	23199	DPL
9224	22189	DPL
6975	23312	DPL
12442	22183	DPL
19521	24079	DPL
19801	23865	DPL
11831	24453	DPL
14854	22556	DPL
3068	22109	DPL
8567	23557	DPL
21030	23597	DPL
11441	22538	DPL
966	22659	DPL
12117	23097	DPL
13283	24602	DPL
18153	22636	DPL
14278	23217	DPL
6761	22720	DPL
13173	23682	DPL
6886	24556	DPL
12312	24482	DPL
20112	23983	DPL
11027	23769	DPL
4283	22090	DPL
9390	22451	DPL
4427	23001	DPL
20310	24591	DPL
10673	23183	DPL
1892	22529	DPL
5173	23445	DPL
13541	23652	DPL
5519	24483	DPL
2669	24594	DPL
12735	23337	DPL
4638	23574	DPL
20053	24444	DPL
6644	24515	DPL
19027	24002	DPL
17508	23823	DPL
1904	23434	DPL
10518	22280	DPL
7348	22932	DPL
5561	23935	DPL
11436	22577	DPL
14925	23877	DPL
2718	22551	DPL
6691	24617	DPL
8944	22224	DPL
18403	23849	DPL
5011	23113	DPL
6058	23184	DPL
10556	23105	DPL
17865	24230	DPL
9457	24089	DPL
19036	23113	DPL
19977	24606	DPL
10873	22114	DPL
4901	23918	DPL
2888	24222	DPL
3247	22995	DPL
8236	22817	DPL
2749	23692	DPL
14868	22660	DPL
14224	23374	DPL
10855	23957	DPL
9227	24088	DPL
7157	22140	DPL
377	22555	DPL
327	24314	DPL
13414	23086	DPL
8430	22686	DPL
20812	23252	DPL
1244	22266	DPL
13665	22619	DPL
18390	22536	DPL
6760	22812	DPL
13160	22617	DPL
5250	23292	DPL
12475	23930	DPL
14882	22589	DPL
14642	22144	DPL
7611	22161	DPL
15305	23966	DPL
21504	24586	DPL
5193	22336	DPL
13423	23050	DPL
3068	24131	DPL
18139	24274	DPL
7250	24435	DPL
2311	24265	DPL
13298	23756	DPL
19881	22268	DPL
5268	23293	DPL
1304	22082	DPL
16838	22095	DPL
3146	23138	DPL
4521	22174	DPL
1617	24341	DPL
9482	23224	DPL
4818	23579	DPL
11943	22936	DPL
17262	23792	DPL
9549	24390	DPL
7146	22710	DPL
4379	22078	DPL
1442	23604	DPL
17495	24291	DPL
8991	24208	DPL
13175	22522	DPL
12348	22153	DPL
18621	23145	DPL
5883	23844	DPL
8790	23209	DPL
6829	22276	DPL
21113	23390	DPL
14944	23475	DPL
1481	22885	DPL
11583	24583	DPL
8392	22139	DPL
17244	22490	DPL
17893	22128	DPL
8298	23141	DPL
19010	22630	DPL
8898	22904	DPL
12091	22182	DPL
16561	24285	DPL
16757	23223	DPL
18365	23058	DPL
595	24319	DPL
18331	23226	DPL
6032	22104	DPL
9052	22169	DPL
11538	22816	DPL
7616	23311	DPL
5042	22450	DPL
18464	23801	DPL
21326	23938	DPL
19581	23469	DPL
11618	22161	DPL
3778	22335	DPL
4425	24590	DPL
16206	22232	DPL
2280	24613	DPL
11715	24484	DPL
5463	23168	DPL
10274	22735	DPL
14496	24191	DPL
10888	22903	DPL
7504	22916	DPL
14170	23731	DPL
10852	23705	DPL
10883	23976	DPL
20676	24291	DPL
11565	24199	DPL
20133	23813	DPL
829	24019	DPL
8671	24301	DPL
6817	22116	DPL
3378	24186	DPL
14824	23273	DPL
19284	24546	DPL
2223	23847	DPL
8815	24146	DPL
1428	22724	DPL
10601	23140	DPL
4497	22571	DPL
21449	24144	DPL
11289	23258	DPL
21435	24370	DPL
10706	24614	DPL
4227	22950	DPL
17375	24096	DPL
2699	24100	DPL
9246	23623	DPL
4279	24055	DPL
11121	23968	DPL
2579	23902	DPL
16059	23696	DPL
15269	22947	DPL
20071	23707	DPL
17318	22992	DPL
16954	22664	DPL
4924	23074	DPL
11439	24028	DPL
13174	22523	DPL
14110	23284	DPL
2510	23684	DPL
14016	24330	DPL
3204	24101	DPL
3781	23536	DPL
4520	23586	DPL
885	23395	DPL
14178	23019	DPL
16351	22223	DPL
3145	24267	DPL
2523	23148	DPL
2789	23488	DPL
18444	22700	DPL
4284	22774	DPL
2814	23007	DPL
1153	22247	DPL
6877	22269	DPL
19754	23049	DPL
15416	22840	DPL
10207	22578	DPL
2486	23489	DPL
9343	23908	DPL
21588	23156	DPL
980	22893	DPL
21458	24172	DPL
3472	23194	DPL
17916	24439	DPL
12192	23424	DPL
1121	24059	DPL
13584	24261	DPL
20289	22946	DPL
6971	24419	DPL
13399	22795	DPL
16127	23146	DPL
1637	23514	DPL
21918	22165	DPL
19258	22544	DPL
3567	24320	DPL
21810	22144	DPL
16537	22780	DPL
11130	22140	DPL
3857	22774	DPL
4160	24147	DPL
557	22674	DPL
21348	22603	DPL
7234	24487	DPL
19808	23677	DPL
10881	23111	DPL
21813	23808	DPL
4598	22907	DPL
16312	24168	DPL
9497	22160	DPL
8359	24182	DPL
1325	23285	DPL
14796	22195	DPL
6602	22290	DPL
9096	24007	DPL
17389	23437	DPL
6299	22895	DPL
21544	24112	DPL
3627	22673	DPL
6956	24551	DPL
